Wavelength(nm),T%
3000,0.018256631
2999,0.021048931
2998,0.018541299
2997,0.018872181
2996,0.019622697
2995,0.019191647
2994,0.018489832
2993,0.017820014
2992,0.018347232
2991,0.015727229
2990,0.017513052
2989,0.016423963
2988,0.014547292
2987,0.013593906
2986,0.016179405
2985,0.016271412
2984,0.020251617
2983,0.018012486
2982,0.016611675
2981,0.014486657
2980,0.016560778
2979,0.015709016
2978,0.018344132
2977,0.014745079
2976,0.017189698
2975,0.016788816
2974,0.018082589
2973,0.015337314
2972,0.018127756
2971,0.015856702
2970,0.018669132
2969,0.016070351
2968,0.016249884
2967,0.014546496
2966,0.014077069
2965,0.014212958
2964,0.014682761
2963,0.014086797
2962,0.016756658
2961,0.014097482
2960,0.015331921
2959,0.015684567
2958,0.014439949
2957,0.013708336
2956,0.013412677
2955,0.012147184
2954,0.014708618
2953,0.011816502
2952,0.014251562
2951,0.014158021
2950,0.014721877
2949,0.013091433
2948,0.013792124
2947,0.012820926
2946,0.012353383
2945,0.012954433
2944,0.011307374
2943,0.013092787
2942,0.011517606
2941,0.012152447
2940,0.011802844
2939,0.011710314
2938,0.0120912
2937,0.010674559
2936,0.0111809
2935,0.011447057
2934,0.011751415
2933,0.011782907
2932,0.010912078
2931,0.011258768
2930,0.010913475
2929,0.010848448
2928,0.013105716
2927,0.010961119
2926,0.010482813
2925,0.010192909
2924,0.013229007
2923,0.01225764
2922,0.01168193
2921,0.010344037
2920,0.011543568
2919,0.011230253
2918,0.011034884
2917,0.011989078
2916,0.01097504
2915,0.009948128
2914,0.011555196
2913,0.01131011
2912,0.011226634
2911,0.012680687
2910,0.01130542
2909,0.010467689
2908,0.011299336
2907,0.011521164
2906,0.012435878
2905,0.010933253
2904,0.010209768
2903,0.010450666
2902,0.009834906
2901,0.011070389
2900,0.010319572
2899,0.009576797
2898,0.010697281
2897,0.011022183
2896,0.010784305
2895,0.011066984
2894,0.010137178
2893,0.010578164
2892,0.011827455
2891,0.010018213
2890,0.012724404
2889,0.012010304
2888,0.011179144
2887,0.010749503
2886,0.01067221
2885,0.009842308
2884,0.011554223
2883,0.010416759
2882,0.010686562
2881,0.009458005
2880,0.011114166
2879,0.010003944
2878,0.011167995
2877,0.010632521
2876,0.012091632
2875,0.012425701
2874,0.010977764
2873,0.011894845
2872,0.010544269
2871,0.010536532
2870,0.011147953
2869,0.010359126
2868,0.010585445
2867,0.01057563
2866,0.010617508
2865,0.011869417
2864,0.010272406
2863,0.012022544
2862,0.010311549
2861,0.011489237
2860,0.010560588
2859,0.010631688
2858,0.010714082
2857,0.011427062
2856,0.010997932
2855,0.010870299
2854,0.011037602
2853,0.010578419
2852,0.011282657
2851,0.010917518
2850,0.010689769
2849,0.011498327
2848,0.011985567
2847,0.010570228
2846,0.009403676
2845,0.010893426
2844,0.010593691
2843,0.011252557
2842,0.010569349
2841,0.008105952
2840,0.011008025
2839,0.009586432
2838,0.008908626
2837,0.010279809
2836,0.011339119
2835,0.009913588
2834,0.011137123
2833,0.011039384
2832,0.009156697
2831,0.010433178
2830,0.011069984
2829,0.008582045
2828,0.010982846
2827,0.009709895
2826,0.010837959
2825,0.009899841
2824,0.008354276
2823,0.009284958
2822,0.010076565
2821,0.010506654
2820,0.008867521
2819,0.009536629
2818,0.01015667
2817,0.009396144
2816,0.009945593
2815,0.009529634
2814,0.009215648
2813,0.011463072
2812,0.01061865
2811,0.00945196
2810,0.009250099
2809,0.00885525
2808,0.00947964
2807,0.008694546
2806,0.010715061
2805,0.010317802
2804,0.008968222
2803,0.007977737
2802,0.010315333
2801,0.009749189
2800,0.009657647
2799,0.009464229
2798,0.008760609
2797,0.009390662
2796,0.010449103
2795,0.0094171
2794,0.008755598
2793,0.009653214
2792,0.007760106
2791,0.008576885
2790,0.010240966
2789,0.008978065
2788,0.00907144
2787,0.00957194
2786,0.009163466
2785,0.011121841
2784,0.010349726
2783,0.009109741
2782,0.008829298
2781,0.011771718
2780,0.010276979
2779,0.009640411
2778,0.009930582
2777,0.011046186
2776,0.010324677
2775,0.009398137
2774,0.01003012
2773,0.010311864
2772,0.010812291
2771,0.008912846
2770,0.010190626
2769,0.009082243
2768,0.010807757
2767,0.009975869
2766,0.010887528
2765,0.00883206
2764,0.008387183
2763,0.010084006
2762,0.009539486
2761,0.009249446
2760,0.010160203
2759,0.008931449
2758,0.009132559
2757,0.008994942
2756,0.008901673
2755,0.0091932
2754,0.009175613
2753,0.010272557
2752,0.008824446
2751,0.009888205
2750,0.007889816
2749,0.009758213
2748,0.009095375
2747,0.008340056
2746,0.008461677
2745,0.009798751
2744,0.009454615
2743,0.009897387
2742,0.009792239
2741,0.008100687
2740,0.00961412
2739,0.010821564
2738,0.010382803
2737,0.009679479
2736,0.008720071
2735,0.010248492
2734,0.009063235
2733,0.008899478
2732,0.009841611
2731,0.008956259
2730,0.00913768
2729,0.008811561
2728,0.009125637
2727,0.009371438
2726,0.007604691
2725,0.008256932
2724,0.009277956
2723,0.009047638
2722,0.008321756
2721,0.008261331
2720,0.010952856
2719,0.009587089
2718,0.009805405
2717,0.008848937
2716,0.009111245
2715,0.009411511
2714,0.008470275
2713,0.008621745
2712,0.009723192
2711,0.009572222
2710,0.008428837
2709,0.008836221
2708,0.00769766
2707,0.008799171
2706,0.009841057
2705,0.008339576
2704,0.008819266
2703,0.010713581
2702,0.008964388
2701,0.01059032
2700,0.008648632
2699,0.010035906
2698,0.009731505
2697,0.009032451
2696,0.007579064
2695,0.00989888
2694,0.009674324
2693,0.008465802
2692,0.009916079
2691,0.009038263
2690,0.010677871
2689,0.009682988
2688,0.009148284
2687,0.009569939
2686,0.009402933
2685,0.010145409
2684,0.010802527
2683,0.010599913
2682,0.010232765
2681,0.009404209
2680,0.010143282
2679,0.010031854
2678,0.009880572
2677,0.008260174
2676,0.008749356
2675,0.011641853
2674,0.010415018
2673,0.011255792
2672,0.009657102
2671,0.010114291
2670,0.009854351
2669,0.009266629
2668,0.009567598
2667,0.010955906
2666,0.009833731
2665,0.00915853
2664,0.010837961
2663,0.010729126
2662,0.009892179
2661,0.009821963
2660,0.011183264
2659,0.010018426
2658,0.010516566
2657,0.010134753
2656,0.009669887
2655,0.011207245
2654,0.009752425
2653,0.0083424
2652,0.009119502
2651,0.010520224
2650,0.01036181
2649,0.010652948
2648,0.00925788
2647,0.009088942
2646,0.010579702
2645,0.008754271
2644,0.010384211
2643,0.010832453
2642,0.010150105
2641,0.01038928
2640,0.010573147
2639,0.010805162
2638,0.010283346
2637,0.010159521
2636,0.009151964
2635,0.010223893
2634,0.009685487
2633,0.010868437
2632,0.010849325
2631,0.011733143
2630,0.008820314
2629,0.008775779
2628,0.009261309
2627,0.00927422
2626,0.010558626
2625,0.011090717
2624,0.009161672
2623,0.009000264
2622,0.010579775
2621,0.011408234
2620,0.009575154
2619,0.010617714
2618,0.008922983
2617,0.011190877
2616,0.009619186
2615,0.009722976
2614,0.010091479
2613,0.009740189
2612,0.00938444
2611,0.009703606
2610,0.010357992
2609,0.010278776
2608,0.011386005
2607,0.010181161
2606,0.011441942
2605,0.010266476
2604,0.011914538
2603,0.008722467
2602,0.009546078
2601,0.010320356
2600,0.010823699
2599,0.009750093
2598,0.01067424
2597,0.010417243
2596,0.011166626
2595,0.010138977
2594,0.009127164
2593,0.010613421
2592,0.012574306
2591,0.010523652
2590,0.010208587
2589,0.009733642
2588,0.009425731
2587,0.010696547
2586,0.009302954
2585,0.009202067
2584,0.010705685
2583,0.011164625
2582,0.010670281
2581,0.010295321
2580,0.009173994
2579,0.008760325
2578,0.00879001
2577,0.008427982
2576,0.010458181
2575,0.009610082
2574,0.008950112
2573,0.010558351
2572,0.010310581
2571,0.010106313
2570,0.009697437
2569,0.010652616
2568,0.009430806
2567,0.009161298
2566,0.008064562
2565,0.009715185
2564,0.010778621
2563,0.009458982
2562,0.009742861
2561,0.010072335
2560,0.008736343
2559,0.009112728
2558,0.010412114
2557,0.00971985
2556,0.008789175
2555,0.010466834
2554,0.011942407
2553,0.008292117
2552,0.010958808
2551,0.009691454
2550,0.009921883
2549,0.009924578
2548,0.00896233
2547,0.010981679
2546,0.010494851
2545,0.00953626
2544,0.008711018
2543,0.009679049
2542,0.010524441
2541,0.01089811
2540,0.008440522
2539,0.010551627
2538,0.010420191
2537,0.009757555
2536,0.009784152
2535,0.009798802
2534,0.008679179
2533,0.009430311
2532,0.010990985
2531,0.010395001
2530,0.009152807
2529,0.008774026
2528,0.009235095
2527,0.010599772
2526,0.009098631
2525,0.010257145
2524,0.007545907
2523,0.010395464
2522,0.009159998
2521,0.008395812
2520,0.00892123
2519,0.008992251
2518,0.009744415
2517,0.010631817
2516,0.010837048
2515,0.010839934
2514,0.009258717
2513,0.010706753
2512,0.009220055
2511,0.00925813
2510,0.010183076
2509,0.011860099
2508,0.009566384
2507,0.008194343
2506,0.008837575
2505,0.00948488
2504,0.009855058
2503,0.009451324
2502,0.010158052
2501,0.009373222
2500,0.009625711
2499,0.009622624
2498,0.010236867
2497,0.009155704
2496,0.010685947
2495,0.00872471
2494,0.010875923
2493,0.009808035
2492,0.010272141
2491,0.010117575
2490,0.010314616
2489,0.008699933
2488,0.009053717
2487,0.009632512
2486,0.008166848
2485,0.008911681
2484,0.00996158
2483,0.00892923
2482,0.009518407
2481,0.009535701
2480,0.008229331
2479,0.009399476
2478,0.008878068
2477,0.010954169
2476,0.009861562
2475,0.009915726
2474,0.009026853
2473,0.009661494
2472,0.010036035
2471,0.009874395
2470,0.009561916
2469,0.009733074
2468,0.009220799
2467,0.009736324
2466,0.007821982
2465,0.010193999
2464,0.01054542
2463,0.009412553
2462,0.010108036
2461,0.009558328
2460,0.011608432
2459,0.008282688
2458,0.010926435
2457,0.009555697
2456,0.009252277
2455,0.008435586
2454,0.009715892
2453,0.010333196
2452,0.008859454
2451,0.008716987
2450,0.009651501
2449,0.007904798
2448,0.00944498
2447,0.009407261
2446,0.009287403
2445,0.008471139
2444,0.008318588
2443,0.011136459
2442,0.011684371
2441,0.009983834
2440,0.010117486
2439,0.010570027
2438,0.008777824
2437,0.009339214
2436,0.010359842
2435,0.010087903
2434,0.010849724
2433,0.008559998
2432,0.011180366
2431,0.009734099
2430,0.011004032
2429,0.00838441
2428,0.008508193
2427,0.00924133
2426,0.00953708
2425,0.009749662
2424,0.009295817
2423,0.010205378
2422,0.009939843
2421,0.009294849
2420,0.009445273
2419,0.009567325
2418,0.010059735
2417,0.009005379
2416,0.009728896
2415,0.008339169
2414,0.00948893
2413,0.009573274
2412,0.00846524
2411,0.006776747
2410,0.009538464
2409,0.009375945
2408,0.009221883
2407,0.009520577
2406,0.008820452
2405,0.008780545
2404,0.008040865
2403,0.010218026
2402,0.006940552
2401,0.008896946
2400,0.008970001
2399,0.007666346
2398,0.009586435
2397,0.010000996
2396,0.007790993
2395,0.008859118
2394,0.009335984
2393,0.008659689
2392,0.008588216
2391,0.00769703
2390,0.010343643
2389,0.007197638
2388,0.009191019
2387,0.008761944
2386,0.011032071
2385,0.009818286
2384,0.0085998
2383,0.007855415
2382,0.009666645
2381,0.009165497
2380,0.008209157
2379,0.008133009
2378,0.008885664
2377,0.011735105
2376,0.00878106
2375,0.009481709
2374,0.008891838
2373,0.009383955
2372,0.008796703
2371,0.007060729
2370,0.010109018
2369,0.007961228
2368,0.010925184
2367,0.008385058
2366,0.008146869
2365,0.009790533
2364,0.008054593
2363,0.008574736
2362,0.00924177
2361,0.00885414
2360,0.009565809
2359,0.009019248
2358,0.009137604
2357,0.008397661
2356,0.008782926
2355,0.009364271
2354,0.009230045
2353,0.009588594
2352,0.010171721
2351,0.009572537
2350,0.009169369
2349,0.00904184
2348,0.008911625
2347,0.009711144
2346,0.00842186
2345,0.009335333
2344,0.01078953
2343,0.008913138
2342,0.008479857
2341,0.008246249
2340,0.010787332
2339,0.01051473
2338,0.008253504
2337,0.007864447
2336,0.007556775
2335,0.009118714
2334,0.010506229
2333,0.007269443
2332,0.008546439
2331,0.009185438
2330,0.00681773
2329,0.0085052
2328,0.008332205
2327,0.007686443
2326,0.009246435
2325,0.008773476
2324,0.008191689
2323,0.008266338
2322,0.010134227
2321,0.01042361
2320,0.007841178
2319,0.009082993
2318,0.009940868
2317,0.008098304
2316,0.008870196
2315,0.010134252
2314,0.008642145
2313,0.010286556
2312,0.008875313
2311,0.009008632
2310,0.008625479
2309,0.009610517
2308,0.008004338
2307,0.008870261
2306,0.008670602
2305,0.010151827
2304,0.006927402
2303,0.00931417
2302,0.007631096
2301,0.009048808
2300,0.010069278
2299,0.00820169
2298,0.008309601
2297,0.008376772
2296,0.008428531
2295,0.008184673
2294,0.009221181
2293,0.009911627
2292,0.008660498
2291,0.008639646
2290,0.007387307
2289,0.008750223
2288,0.009899415
2287,0.008642211
2286,0.009101172
2285,0.007977978
2284,0.009773574
2283,0.008864149
2282,0.009515543
2281,0.009360843
2280,0.009873797
2279,0.008743419
2278,0.008969617
2277,0.007516168
2276,0.010175278
2275,0.009358332
2274,0.010335983
2273,0.009493834
2272,0.00787605
2271,0.008497352
2270,0.009228281
2269,0.009624789
2268,0.007832198
2267,0.009406446
2266,0.009949944
2265,0.009264534
2264,0.008878836
2263,0.009651605
2262,0.007645906
2261,0.00958257
2260,0.007865569
2259,0.010107269
2258,0.008359677
2257,0.008286669
2256,0.008766098
2255,0.009321575
2254,0.009688058
2253,0.009030213
2252,0.007461666
2251,0.008363684
2250,0.009564951
2249,0.009878979
2248,0.008490996
2247,0.009913363
2246,0.009364655
2245,0.008616345
2244,0.008028708
2243,0.009889042
2242,0.008931253
2241,0.007732385
2240,0.00948092
2239,0.007470977
2238,0.007153673
2237,0.009231464
2236,0.008775341
2235,0.006455372
2234,0.009851246
2233,0.009720731
2232,0.008796367
2231,0.009380254
2230,0.009851433
2229,0.007611918
2228,0.009218259
2227,0.008859972
2226,0.009210037
2225,0.008034839
2224,0.009785781
2223,0.009334941
2222,0.007449564
2221,0.010020281
2220,0.009578269
2219,0.009214547
2218,0.008693888
2217,0.00861535
2216,0.009019283
2215,0.008380834
2214,0.008780308
2213,0.010196239
2212,0.009268689
2211,0.008178897
2210,0.00955301
2209,0.007842687
2208,0.007823326
2207,0.009314877
2206,0.008720274
2205,0.008507828
2204,0.009546326
2203,0.008068015
2202,0.009337136
2201,0.008442612
2200,0.007541745
2199,0.009345063
2198,0.007419917
2197,0.008225118
2196,0.009841264
2195,0.008221512
2194,0.008384198
2193,0.00956999
2192,0.008051046
2191,0.008929959
2190,0.008067249
2189,0.009045304
2188,0.008130535
2187,0.010317996
2186,0.007959582
2185,0.007926818
2184,0.009211307
2183,0.009298444
2182,0.008587567
2181,0.00932279
2180,0.008234113
2179,0.009421919
2178,0.009840404
2177,0.009831611
2176,0.009330566
2175,0.010062293
2174,0.008412436
2173,0.008921311
2172,0.008366353
2171,0.008693032
2170,0.009199652
2169,0.007455282
2168,0.009049146
2167,0.008021353
2166,0.008442388
2165,0.00832908
2164,0.00851428
2163,0.009908144
2162,0.009233616
2161,0.010453196
2160,0.008906675
2159,0.008433998
2158,0.008273398
2157,0.010288602
2156,0.008552205
2155,0.009199498
2154,0.008676409
2153,0.008832272
2152,0.007958504
2151,0.009131046
2150,0.009778867
2149,0.009392437
2148,0.006728029
2147,0.00916455
2146,0.009202636
2145,0.008638129
2144,0.010502542
2143,0.009563235
2142,0.008429881
2141,0.008142038
2140,0.008985715
2139,0.007893979
2138,0.009957303
2137,0.008754179
2136,0.009281263
2135,0.007068358
2134,0.006665159
2133,0.007975416
2132,0.009329247
2131,0.009165262
2130,0.008734399
2129,0.008533105
2128,0.008877202
2127,0.010634489
2126,0.009108271
2125,0.008762134
2124,0.008289265
2123,0.009321643
2122,0.009382855
2121,0.010895052
2120,0.007536366
2119,0.009530336
2118,0.011547221
2117,0.009299391
2116,0.00858073
2115,0.008752782
2114,0.008267606
2113,0.00913775
2112,0.0081926
2111,0.007304839
2110,0.0074967
2109,0.007785632
2108,0.007894436
2107,0.009646595
2106,0.009525732
2105,0.00905584
2104,0.00784844
2103,0.00794565
2102,0.009777341
2101,0.009301926
2100,0.009229411
2099,0.007854969
2098,0.008808072
2097,0.008702299
2096,0.010549432
2095,0.00855167
2094,0.008959907
2093,0.008472604
2092,0.01002941
2091,0.010164178
2090,0.008106512
2089,0.009048732
2088,0.008682607
2087,0.008211758
2086,0.009910133
2085,0.010204142
2084,0.008564544
2083,0.008647413
2082,0.008172754
2081,0.009358963
2080,0.008461609
2079,0.008926088
2078,0.007363687
2077,0.008098227
2076,0.009864319
2075,0.008038533
2074,0.00805371
2073,0.008780186
2072,0.009229605
2071,0.00768307
2070,0.008705058
2069,0.008777776
2068,0.00751073
2067,0.009699385
2066,0.010143211
2065,0.009043247
2064,0.010539636
2063,0.010100978
2062,0.009677885
2061,0.00859896
2060,0.008527045
2059,0.010012699
2058,0.008453812
2057,0.009095397
2056,0.007070886
2055,0.008278258
2054,0.008511106
2053,0.008847432
2052,0.007106062
2051,0.007021732
2050,0.007792611
2049,0.008596904
2048,0.007688316
2047,0.008790557
2046,0.009701318
2045,0.009321635
2044,0.008497485
2043,0.009053139
2042,0.009271272
2041,0.009888121
2040,0.007786162
2039,0.008763755
2038,0.008785663
2037,0.009630463
2036,0.007437707
2035,0.009006976
2034,0.009345973
2033,0.008244903
2032,0.007414067
2031,0.008699759
2030,0.008069309
2029,0.007987036
2028,0.009594267
2027,0.008227741
2026,0.008690033
2025,0.007518091
2024,0.007691445
2023,0.009205548
2022,0.009616756
2021,0.010018475
2020,0.007948034
2019,0.007950917
2018,0.008778768
2017,0.009991506
2016,0.008662298
2015,0.008305289
2014,0.009606034
2013,0.009427729
2012,0.008357151
2011,0.008489438
2010,0.009254534
2009,0.008251252
2008,0.008418771
2007,0.010116349
2006,0.010006925
2005,0.009298797
2004,0.008616522
2003,0.008366767
2002,0.008982578
2001,0.008870445
2000,0.008023375
1999,0.009928985
1998,0.009638473
1997,0.01059438
1996,0.010010645
1995,0.00940258
1994,0.009524715
1993,0.009752535
1992,0.009515896
1991,0.009219856
1990,0.008409968
1989,0.00894317
1988,0.010971304
1987,0.009023416
1986,0.008675834
1985,0.008906818
1984,0.010633115
1983,0.009965613
1982,0.009272925
1981,0.008451173
1980,0.010168738
1979,0.0103634
1978,0.009273048
1977,0.010194431
1976,0.009388296
1975,0.008639205
1974,0.009482251
1973,0.01034821
1972,0.011278157
1971,0.008299819
1970,0.009175574
1969,0.009782569
1968,0.010160694
1967,0.008501654
1966,0.009542964
1965,0.009527927
1964,0.008147282
1963,0.009204887
1962,0.008477949
1961,0.009524204
1960,0.010574112
1959,0.008402986
1958,0.008272738
1957,0.010621977
1956,0.009883619
1955,0.009819671
1954,0.008271096
1953,0.009126655
1952,0.009488501
1951,0.010217965
1950,0.008395406
1949,0.010644035
1948,0.00774999
1947,0.011448236
1946,0.008379996
1945,0.009582401
1944,0.010127255
1943,0.007068016
1942,0.008086899
1941,0.009468969
1940,0.009965226
1939,0.010254928
1938,0.010769404
1937,0.007093983
1936,0.008695662
1935,0.009712279
1934,0.008878017
1933,0.011510015
1932,0.01075702
1931,0.012568389
1930,0.009517454
1929,0.010216466
1928,0.01008316
1927,0.009372869
1926,0.011747116
1925,0.010916471
1924,0.009859567
1923,0.010105053
1922,0.009245411
1921,0.010157831
1920,0.012671214
1919,0.010417034
1918,0.010544805
1917,0.010883623
1916,0.011562648
1915,0.011000122
1914,0.01186976
1913,0.012249152
1912,0.011436913
1911,0.010600076
1910,0.012703527
1909,0.011650465
1908,0.010209509
1907,0.011656076
1906,0.011674679
1905,0.013011845
1904,0.012504291
1903,0.014752118
1902,0.011704152
1901,0.011466336
1900,0.013186099
1899,0.013207653
1898,0.014039902
1897,0.01613291
1896,0.015033562
1895,0.014461369
1894,0.015112231
1893,0.015324724
1892,0.0160091
1891,0.01647057
1890,0.016097508
1889,0.017002434
1888,0.017248843
1887,0.018729692
1886,0.018399363
1885,0.01911376
1884,0.019916736
1883,0.020072948
1882,0.022222191
1881,0.020609969
1880,0.021998893
1879,0.02341783
1878,0.024990728
1877,0.024372684
1876,0.026490347
1875,0.027599212
1874,0.03083181
1873,0.03122933
1872,0.03137866
1871,0.031537518
1870,0.034326825
1869,0.03581525
1868,0.037669752
1867,0.040580146
1866,0.041662868
1865,0.044874322
1864,0.047993042
1863,0.049273223
1862,0.053303059
1861,0.055871625
1860,0.058347534
1859,0.06169204
1858,0.065406904
1857,0.069677055
1856,0.073308334
1855,0.077446096
1854,0.082810998
1853,0.088272445
1852,0.095502742
1851,0.100534119
1850,0.107032634
1849,0.113903359
1848,0.120499879
1847,0.129801869
1846,0.140306458
1845,0.149846688
1844,0.159375474
1843,0.169266895
1842,0.182611838
1841,0.19644326
1840,0.212472588
1839,0.228898674
1838,0.244306162
1837,0.263078988
1836,0.283604652
1835,0.309411973
1834,0.332034946
1833,0.354885876
1832,0.381615937
1831,0.41105324
1830,0.450473845
1829,0.490278006
1828,0.527259946
1827,0.575153828
1826,0.627699852
1825,0.681747794
1824,0.745158434
1823,0.807771385
1822,0.875830352
1821,0.964710474
1820,1.066323519
1819,1.173575163
1818,1.289359808
1817,1.408463836
1816,1.557975054
1815,1.72519362
1814,1.913230538
1813,2.113984585
1812,2.344542027
1811,2.627619505
1810,2.936901331
1809,3.271344185
1808,3.656458855
1807,4.099218369
1806,4.618768215
1805,5.217668056
1804,5.890975475
1803,6.634701729
1802,7.511403561
1801,8.536623001
1800,9.699492455
1799,11.04919624
1798,12.57667351
1797,14.30948544
1796,16.26274109
1795,18.52429008
1794,21.09617996
1793,23.88945007
1792,27.14743042
1791,30.67268753
1790,34.47142029
1789,38.54312897
1788,42.82993317
1787,47.43303299
1786,52.07772827
1785,56.82907867
1784,61.4314003
1783,65.85855103
1782,70.09194183
1781,73.99847412
1780,77.53912354
1779,80.76062775
1778,83.58557129
1777,85.9415741
1776,87.97802734
1775,89.71727753
1774,91.14407349
1773,92.3620224
1772,93.35025787
1771,94.16512299
1770,94.83772278
1769,95.39143372
1768,95.85540009
1767,96.23413086
1766,96.56512451
1765,96.83031464
1764,97.04522705
1763,97.24004364
1762,97.36776733
1761,97.49794006
1760,97.57971954
1759,97.63864899
1758,97.67863464
1757,97.6856308
1756,97.6960907
1755,97.65606689
1754,97.63881683
1753,97.58953094
1752,97.52866364
1751,97.47105408
1750,97.41596222
1749,97.35604858
1748,97.2858429
1747,97.22888184
1746,97.18190765
1745,97.12141418
1744,97.08976746
1743,97.04008484
1742,97.01493073
1741,96.98188019
1740,96.95163727
1739,96.92678833
1738,96.89111328
1737,96.8663559
1736,96.83094788
1735,96.78668976
1734,96.74750519
1733,96.67578125
1732,96.60762787
1731,96.52651215
1730,96.43154907
1729,96.3265152
1728,96.19199371
1727,96.06826019
1726,95.9140625
1725,95.76207733
1724,95.5949707
1723,95.40628052
1722,95.23755646
1721,95.0451355
1720,94.84951019
1719,94.68177032
1718,94.49385834
1717,94.32324982
1716,94.16469574
1715,94.00164795
1714,93.86076355
1713,93.73858643
1712,93.61889648
1711,93.53504944
1710,93.44749451
1709,93.3946991
1708,93.34597015
1707,93.3177948
1706,93.3115921
