T_eff_K,log_g_cm_per_s2,mass_Msun,radius_Rsun,log_L_Lsun,log_age_yr,mag_Lprime,mag_clio3_95
200.0,3.0,0.00051,0.1181,-7.696,8.285,23.412544332964075,22.854244084510384
225.0,3.0,0.00054,0.1205,-7.474,8.109,22.119765534484927,21.487279285578012
250.0,3.0,0.00056,0.1228,-7.275,7.945,21.037632559701773,20.367135897490982
275.0,3.0,0.00057,0.1248,-7.095,7.788,20.149417436522356,19.462015790170014
300.0,3.0,0.00059,0.127,-6.929,7.638,19.37715728488715,18.684067056931553
325.0,3.0,0.00062,0.1292,-6.775,7.495,18.68878629498385,17.99615134680048
350.0,3.0,0.00064,0.1313,-6.632,7.352,18.103768743344276,17.414869248041725
375.0,3.0,0.00066,0.1334,-6.498,7.209,17.589004587730233,16.905113179755695
400.0,3.0,0.00067,0.1353,-6.374,7.075,17.149823674579856,16.47068065961149
425.0,3.0,0.00069,0.137,-6.258,6.961,16.747369511169016,16.071914138327664
450.0,3.0,0.0007,0.1382,-6.151,6.859,16.406859736461634,15.733782875590274
475.0,3.0,0.00072,0.1394,-6.05,6.776,16.090160294807543,15.418268116715804
500.0,3.0,0.00073,0.1405,-5.954,6.703,15.820764320598622,15.149184859853682
525.0,3.0,0.00074,0.1417,-5.862,6.641,15.578435236117713,14.906502689193207
550.0,3.0,0.00075,0.1429,-5.773,6.576,15.360183662726463,14.68755127844009
575.0,3.0,0.00077,0.1442,-5.688,6.514,15.15224275544448,14.480487995065179
600.0,3.0,0.00078,0.1455,-5.607,6.456,14.974974745131917,14.304645892761094
650.0,3.0,0.00081,0.1479,-5.453,6.347,14.636441241673419,13.967377439764658
700.0,3.0,0.00083,0.1503,-5.31,6.246,14.331958994012972,13.663124641660618
750.0,3.0,0.00086,0.1528,-5.176,6.157,14.02814796198943,13.359304674686594
800.0,3.0,0.00089,0.1553,-5.05,6.078,13.725999080009627,13.054023981049665
850.0,3.0,0.00092,0.1579,-4.93,6.011,13.410905397101025,12.728635571754285
900.0,3.0,0.00095,0.1606,-4.816,5.956,13.086193378234414,12.390944326220435
950.0,3.0,0.00098,0.1633,-4.708,5.909,12.756145827329288,12.046134986878476
1000.0,3.0,0.00102,0.1664,-4.603,5.864,12.408201444839417,11.687015935694255
1100.0,3.0,0.00109,0.1719,-4.409,5.715,11.718100830794105,11.011936183061605
1200.0,3.0,0.00115,0.1767,-4.233,5.569,11.171710277232478,10.505925459432504
1300.0,3.0,0.00121,0.1813,-4.072,5.431,10.631483630793364,10.057234463597167
1400.0,3.0,0.00128,0.1864,-3.92,5.31,10.210073967568905,9.75548754707903
1500.0,3.0,0.00136,0.1917,-3.775,5.204,9.875637262748434,9.504585315443187
1600.0,3.0,0.00144,0.1973,-3.638,5.118,9.543757324869686,9.270769277245671
1700.0,3.0,0.00156,0.2053,-3.498,5.07,9.26189156244793,9.03897766410623
1800.0,3.0,0.00165,0.2114,-3.374,4.976,9.044782734244851,8.847477305419122
1900.0,3.0,0.00175,0.2177,-3.254,4.898,8.844838606546269,8.663054042786499
2000.0,3.0,0.00186,0.2244,-3.139,4.836,8.651346194262835,8.484215033727946
200.0,3.2504,0.00083,0.1121,-7.742,8.574,23.417014868905248,22.868290384217374
225.0,3.2504,0.00086,0.1142,-7.521,8.414,22.141875503085053,21.5153979102389
250.0,3.2504,0.00089,0.1163,-7.322,8.267,21.071157645917907,20.403497824465752
275.0,3.2504,0.00092,0.1183,-7.141,8.129,20.16805766843813,19.480839465001687
300.0,3.2504,0.00095,0.1203,-6.976,8.0,19.39961299517337,18.704729612228164
325.0,3.2504,0.00098,0.1223,-6.823,7.876,18.733049953379776,18.037039734767177
350.0,3.2504,0.00101,0.1242,-6.68,7.754,18.150696290721925,17.457046944399835
375.0,3.2504,0.00104,0.1261,-6.547,7.615,17.6410667918325,16.951255481674067
400.0,3.2504,0.00107,0.1278,-6.424,7.488,17.192334577649856,16.50650891820978
425.0,3.2504,0.0011,0.1292,-6.309,7.378,16.795672593877114,16.1134136994932
450.0,3.2504,0.00112,0.1303,-6.202,7.293,16.452875812558535,15.773330392202814
475.0,3.2504,0.00113,0.1314,-6.101,7.214,16.157779051576927,15.479895753970146
500.0,3.2504,0.00115,0.1324,-6.005,7.143,15.884118314697647,15.207166971986108
525.0,3.2504,0.00117,0.1335,-5.913,7.074,15.637990988203542,14.961343164349863
550.0,3.2504,0.00119,0.1345,-5.826,7.009,15.411832294244604,14.734997892628526
575.0,3.2504,0.00121,0.1356,-5.742,6.947,15.207265641276738,14.531154017104805
600.0,3.2504,0.00123,0.1366,-5.661,6.888,15.021936863131021,14.347798559244564
650.0,3.2504,0.00126,0.1387,-5.509,6.78,14.692308699670939,14.0198344336663
700.0,3.2504,0.0013,0.1407,-5.368,6.681,14.382516991168687,13.709451656364969
750.0,3.2504,0.00134,0.1428,-5.235,6.592,14.084883401367511,13.409466347480688
800.0,3.2504,0.00138,0.1449,-5.11,6.509,13.78865839863613,13.108063930594998
850.0,3.2504,0.00142,0.147,-4.993,6.434,13.491588749708745,12.800747772135015
900.0,3.2504,0.00146,0.1491,-4.881,6.366,13.18146223971079,12.480044325250645
950.0,3.2504,0.0015,0.1512,-4.775,6.305,12.871841929837123,12.162445012182246
1000.0,3.2504,0.00155,0.1535,-4.673,6.242,12.556500028182118,11.844404576016707
1100.0,3.2504,0.00164,0.1581,-4.481,6.119,11.936993012299046,11.24140574382551
1200.0,3.2504,0.00174,0.163,-4.304,6.006,11.383199497734582,10.726284920198431
1300.0,3.2504,0.00186,0.1682,-4.137,5.912,10.826928410183925,10.253778435881497
1400.0,3.2504,0.00198,0.1737,-3.981,5.833,10.451817089915705,9.947393466752096
1500.0,3.2504,0.00211,0.1794,-3.833,5.752,10.035807550700858,9.654135686340728
1600.0,3.2504,0.00225,0.1853,-3.693,5.673,9.72423910269783,9.416762121885466
1700.0,3.2504,0.00241,0.1914,-3.559,5.606,9.440901604816359,9.193394797065274
1800.0,3.2504,0.00258,0.1981,-3.43,5.547,9.194325746423536,8.986078838231656
1900.0,3.2504,0.00277,0.2055,-3.304,5.485,8.974958776616361,8.788474094516637
2000.0,3.2504,0.003,0.2136,-3.181,5.439,8.760473119018846,8.590097541894933
200.0,3.4997,0.00142,0.1102,-7.756,8.965,23.32208961367212,22.775566275498214
225.0,3.4997,0.00146,0.1121,-7.537,8.811,22.076372209048824,21.452299954084367
250.0,3.4997,0.00151,0.1139,-7.34,8.67,21.009548343909444,20.341683637597193
275.0,3.4997,0.00156,0.1158,-7.16,8.523,20.113484858216783,19.423767858380952
300.0,3.4997,0.00161,0.1175,-6.996,8.385,19.348967561746882,18.649932042854168
325.0,3.4997,0.00166,0.1193,-6.844,8.25,18.686583170043342,17.98532140486862
350.0,3.4997,0.00171,0.121,-6.703,8.116,18.108018830984793,17.408454167105763
375.0,3.4997,0.00175,0.1227,-6.571,7.981,17.607705559863007,16.91176012356258
400.0,3.4997,0.0018,0.1241,-6.449,7.857,17.163055039615323,16.47115730648012
425.0,3.4997,0.00183,0.1253,-6.335,7.75,16.783045990481856,16.094966054644438
450.0,3.4997,0.00186,0.1263,-6.229,7.666,16.445647353433333,15.760694557268113
475.0,3.4997,0.00189,0.1272,-6.129,7.59,16.144079522023066,15.461495315295963
500.0,3.4997,0.00191,0.1281,-6.034,7.519,15.877393455814763,15.196306928184988
525.0,3.4997,0.00194,0.129,-5.943,7.452,15.630396049831958,14.950036684373895
550.0,3.4997,0.00197,0.1299,-5.856,7.39,15.405771577678095,14.725644902948963
575.0,3.4997,0.00199,0.1307,-5.774,7.333,15.203538287970053,14.524392844264316
600.0,3.4997,0.00202,0.1315,-5.694,7.28,15.017265509403984,14.340933898684431
650.0,3.4997,0.00207,0.1332,-5.544,7.173,14.68421893178294,14.010797667931179
700.0,3.4997,0.00212,0.1349,-5.405,7.075,14.384284427009415,13.71124911236696
750.0,3.4997,0.00218,0.1366,-5.274,6.984,14.10081609910836,13.426499776587367
800.0,3.4997,0.00223,0.1383,-5.151,6.901,13.828611510379147,13.150873795942587
850.0,3.4997,0.00229,0.1401,-5.034,6.822,13.54986071977137,12.865136737363052
900.0,3.4997,0.00235,0.1419,-4.924,6.75,13.264149583229983,12.569323186617067
950.0,3.4997,0.00241,0.1437,-4.819,6.685,12.975875518084477,12.272431921742006
1000.0,3.4997,0.00247,0.1455,-4.719,6.627,12.690260953444703,11.981721098438369
1100.0,3.4997,0.0026,0.1494,-4.531,6.517,12.113218429522984,11.410950001978982
1200.0,3.4997,0.00276,0.1537,-4.355,6.416,11.557251088314498,10.887721243330182
1300.0,3.4997,0.00292,0.1583,-4.19,6.331,11.07608498309893,10.457135273487157
1400.0,3.4997,0.00311,0.1634,-4.034,6.257,10.674220930281436,10.114644031436837
1500.0,3.4997,0.00333,0.1691,-3.884,6.189,10.187174705405532,9.776762666540911
1600.0,3.4997,0.00359,0.1754,-3.74,6.129,9.897621225002332,9.535602946577605
1700.0,3.4997,0.00387,0.1822,-3.602,6.071,9.563530468037836,9.295164206719798
1800.0,3.4997,0.0042,0.1898,-3.467,6.02,9.292929067796715,9.073632581245258
1900.0,3.4997,0.00459,0.1984,-3.335,5.974,9.049355044083615,8.857918307633952
2000.0,3.4997,0.0051,0.2091,-3.2,5.933,8.807703631913416,8.633993459056105
200.0,3.7497,0.00249,0.1095,-7.762,9.35,23.176716790963965,22.62613582780675
225.0,3.7497,0.00256,0.1111,-7.545,9.186,21.955408992248064,21.328481879983812
250.0,3.7497,0.00263,0.1126,-7.35,9.034,20.909237801766455,20.237437408821318
275.0,3.7497,0.0027,0.1141,-7.173,8.897,20.02381040407601,19.32846351274754
300.0,3.7497,0.00277,0.1155,-7.011,8.765,19.27145883140926,18.56540594696311
325.0,3.7497,0.00284,0.117,-6.861,8.638,18.620246177618988,17.910965462307004
350.0,3.7497,0.00291,0.1184,-6.722,8.509,18.05223965007646,17.344059871458374
375.0,3.7497,0.00298,0.1198,-6.592,8.379,17.555777421584008,16.850968088104146
400.0,3.7497,0.00304,0.121,-6.471,8.267,17.12344170129336,16.42275673576154
425.0,3.7497,0.0031,0.1222,-6.357,8.145,16.743901643921568,16.047326519462427
450.0,3.7497,0.00314,0.1231,-6.251,8.051,16.416491194490305,15.723487315459456
475.0,3.7497,0.00318,0.1239,-6.152,7.972,16.1197175485602,15.429683068910458
500.0,3.7497,0.00322,0.1246,-6.058,7.906,15.8526140763799,15.164799416927515
525.0,3.7497,0.00326,0.1254,-5.968,7.838,15.60888607979193,14.922618997358533
550.0,3.7497,0.0033,0.1261,-5.882,7.775,15.385203956811043,14.699874668854422
575.0,3.7497,0.00333,0.1268,-5.8,7.717,15.178811880103165,14.495423869895362
600.0,3.7497,0.00337,0.1275,-5.721,7.664,14.99413146768836,14.314181791514166
650.0,3.7497,0.00344,0.1288,-5.573,7.565,14.665640792417815,13.990209495975034
700.0,3.7497,0.00352,0.1303,-5.435,7.473,14.368085157256175,13.694295622198666
750.0,3.7497,0.0036,0.1317,-5.305,7.386,14.092857273979938,13.418684161166892
800.0,3.7497,0.00368,0.1332,-5.184,7.305,13.833141456881716,13.156999204570512
850.0,3.7497,0.00376,0.1347,-5.069,7.231,13.579653308899356,12.899254144831007
900.0,3.7497,0.00385,0.1362,-4.959,7.163,13.317664647214055,12.630110184859431
950.0,3.7497,0.00393,0.1378,-4.856,7.099,13.055245759418924,12.360285291355492
1000.0,3.7497,0.00403,0.1394,-4.756,7.04,12.78618135450872,12.084068161145243
1100.0,3.7497,0.00423,0.1428,-4.57,6.926,12.25214843376673,11.547848388439856
1200.0,3.7497,0.00444,0.1464,-4.397,6.827,11.720754409156966,11.03949954712692
1300.0,3.7497,0.00468,0.1502,-4.236,6.741,11.236587638509338,10.598545858131596
1400.0,3.7497,0.00493,0.1543,-4.084,6.665,10.802346815431392,10.234181502321015
1500.0,3.7497,0.00521,0.1586,-3.94,6.595,10.361805040249674,9.915883586398461
1600.0,3.7497,0.00554,0.1634,-3.802,6.533,10.084100341038846,9.686939379670452
1700.0,3.7497,0.0059,0.1688,-3.668,6.478,9.750948644239074,9.455456599750981
1800.0,3.7497,0.00635,0.175,-3.538,6.428,9.475021985966402,9.241349622489194
1900.0,3.7497,0.00688,0.1822,-3.409,6.382,9.234128296161858,9.036052154862888
2000.0,3.7497,0.00753,0.1905,-3.281,6.34,9.007100739202311,8.829999294640825
200.0,4.0,0.00425,0.1073,-7.779,9.738,23.046056927154225,22.482961531993087
225.0,4.0,0.00435,0.1086,-7.565,9.575,21.851192279469206,21.214819022200633
250.0,4.0,0.00445,0.1098,-7.372,9.426,20.825935416641983,20.145192484251325
275.0,4.0,0.00455,0.111,-7.197,9.285,19.957037984436717,19.252158264023556
300.0,4.0,0.00465,0.1122,-7.036,9.149,19.21446077676098,18.4981005010574
325.0,4.0,0.00475,0.1134,-6.888,9.017,18.574765042721502,17.854545592552338
350.0,4.0,0.00484,0.1146,-6.75,8.888,18.01879567309215,17.299248506079884
375.0,4.0,0.00493,0.1156,-6.623,8.77,17.533955917367656,16.817624414795876
400.0,4.0,0.00501,0.1165,-6.504,8.666,17.110939902801544,16.398858754477356
425.0,4.0,0.00509,0.1174,-6.392,8.569,16.738698590708157,16.03107234138433
450.0,4.0,0.00516,0.1182,-6.287,8.477,16.410222083605465,15.706714484610485
475.0,4.0,0.00523,0.119,-6.187,8.391,16.117354354964775,15.417402467036464
500.0,4.0,0.00529,0.1197,-6.093,8.315,15.853985156987324,15.156893850904957
525.0,4.0,0.00535,0.1204,-6.003,8.246,15.613577229333643,14.918637044556636
550.0,4.0,0.00541,0.1211,-5.917,8.18,15.39096727768068,14.697906290177462
575.0,4.0,0.00546,0.1217,-5.836,8.121,15.184957191977983,14.495568402393067
600.0,4.0,0.00552,0.1223,-5.757,8.063,14.995225147614564,14.309893395967318
650.0,4.0,0.00563,0.1235,-5.61,7.964,14.665274638651074,13.986149615899965
700.0,4.0,0.00574,0.1247,-5.473,7.873,14.373944999119487,13.698133616689729
750.0,4.0,0.00585,0.1259,-5.345,7.791,14.108052712079575,13.433210777500829
800.0,4.0,0.00596,0.1271,-5.224,7.716,13.856858196958912,13.180846834047005
850.0,4.0,0.00608,0.1284,-5.11,7.644,13.614329541637735,12.935678564502313
900.0,4.0,0.00621,0.1297,-5.002,7.574,13.373245458968292,12.689624210106738
950.0,4.0,0.00634,0.131,-4.899,7.509,13.131956054976364,12.443411726857729
1000.0,4.0,0.00647,0.1324,-4.801,7.448,12.888822346183675,12.194598150582731
1100.0,4.0,0.00675,0.1353,-4.617,7.339,12.392941218053844,11.691627585365488
1200.0,4.0,0.00706,0.1383,-4.447,7.244,11.893263557984803,11.204274019260014
1300.0,4.0,0.00738,0.1415,-4.288,7.155,11.415078339591858,10.762699400256084
1400.0,4.0,0.00774,0.1449,-4.138,7.076,10.98336916207332,10.390121324175048
1500.0,4.0,0.00814,0.1485,-3.997,7.006,10.59608138269515,10.08496058587243
1600.0,4.0,0.00856,0.1523,-3.863,6.945,10.207352971961027,9.81950434850511
1700.0,4.0,0.00903,0.1565,-3.734,6.892,9.922930845994312,9.609586606570899
1800.0,4.0,0.00959,0.1613,-3.609,6.842,9.662026481307697,9.410973303942928
1900.0,4.0,0.01027,0.1668,-3.485,6.796,9.424715899608888,9.218002688960198
2000.0,4.0,0.0111,0.1735,-3.362,6.753,9.207523428391207,9.026688682387022
